Frame,alignment,cohesion,collisionCount,neighbourhoodSize,separation,visibleSize,polerization
278,102.931358,11903.718024,616.000000,12.320000,0.860846,12.320000,0.091863
279,100.675612,11907.995415,616.000000,12.320000,0.798834,12.320000,0.091839
280,104.193208,11905.522175,616.000000,12.320000,0.844451,12.320000,0.091035
281,101.435008,11905.877391,616.000000,12.320000,0.838637,12.320000,0.081088
282,106.311411,11907.399142,616.000000,12.320000,0.800475,12.320000,0.073387
283,101.971603,11904.489533,616.000000,12.320000,0.800935,12.320000,0.063656
284,103.662545,11908.518717,616.000000,12.320000,0.838586,12.320000,0.052023
285,103.376863,11904.247711,616.000000,12.320000,0.804434,12.320000,0.049731
286,100.820119,11908.261772,616.000000,12.320000,0.843873,12.320000,0.063351
287,104.469173,11905.422894,616.000000,12.320000,0.826280,12.320000,0.088727
288,100.341347,11907.000416,616.000000,12.320000,0.873089,12.320000,0.111107
289,103.525852,11907.124571,616.000000,12.320000,0.800211,12.320000,0.125598
290,99.869610,11904.956041,616.000000,12.320000,0.880646,12.320000,0.140837
291,102.552583,11908.968406,616.000000,12.320000,0.786714,12.320000,0.153530
292,101.781890,11903.758132,616.000000,12.320000,0.821910,12.320000,0.157419
293,100.777415,11909.873839,616.000000,12.320000,0.787420,12.320000,0.168342
294,103.938854,11904.010361,616.000000,12.320000,0.847447,12.320000,0.168940
295,97.510687,11909.417823,616.000000,12.320000,0.779246,12.320000,0.163748
296,106.719202,11904.737283,616.000000,12.320000,0.859955,12.320000,0.160239
297,97.892717,11907.687999,616.000000,12.320000,0.809194,12.320000,0.157401
298,107.115426,11906.628664,616.000000,12.320000,0.870829,12.320000,0.161686
299,100.025620,11905.827945,616.000000,12.320000,0.765090,12.320000,0.173112
300,106.648375,11908.722478,616.000000,12.320000,0.897271,12.320000,0.186036
301,100.309126,11904.328520,616.000000,12.320000,0.688789,12.320000,0.191319
302,106.653197,11909.295852,616.000000,12.320000,0.890973,12.320000,0.195852
303,100.647223,11904.268945,616.000000,12.320000,0.690078,12.320000,0.187106
304,102.377592,11908.679702,616.000000,12.320000,0.919186,12.320000,0.171619
305,103.009003,11904.976921,616.000000,12.320000,0.672246,12.320000,0.150075
306,100.845827,11906.603690,616.000000,12.320000,0.920668,12.320000,0.119116
307,103.493308,11906.956556,616.000000,12.320000,0.726581,12.320000,0.084177
308,100.479245,11904.733504,616.000000,12.320000,0.857182,12.320000,0.059738
309,102.072602,11908.944547,616.000000,12.320000,0.734039,12.320000,0.063486
310,103.093856,11903.625952,616.000000,12.320000,0.828604,12.320000,0.092283
311,100.599336,11909.500799,616.000000,12.320000,0.733526,12.320000,0.118354
312,105.498507,11902.881647,616.000000,12.320000,0.830092,12.320000,0.136952
313,98.966233,11909.182147,616.000000,12.320000,0.761859,12.320000,0.159424
314,107.365910,11903.440786,616.000000,12.320000,0.834244,12.320000,0.165251
315,97.685105,11908.623853,616.000000,12.320000,0.752212,12.320000,0.167339
316,107.077069,11904.759561,616.000000,12.320000,0.850939,12.320000,0.151570
